,1.SG,2.SG,1.PL,this1,this2,that1,that2,that3,that4,who?,what?,not,all,many,one,two,big,long,small,woman,man,person,fish,bird,dog,louse,tree,seed,leaf,root,bark,skin,flesh,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,knee,hand,belly,neck,breasts,heart,liver,to drink,to eat,to bite,to see,to hear,to know,to sleep,to die,to kill,to swim,to fly,to walk,to come,to lie down,to sit,to stand,to give1,to give2,to say,sun,moon,star,water,rain,stone,sand,soil,cloud,smoke,fire,ash,to burn,path,mountain,red1,red2,blue1,blue2,yellow1,yellow2,white1,white2,black1,black2,night,hot,cold,full,new,good,round,to dry,name
Aomori,wa / ora / ore̝ / wasï / ware̝ / wae̝ / te̝me / wadasï,ome / anda / honda / sonada / sodzïra,oradadzï / ore̝dadzï / wasïra / ware̝ra / te̝medadzï / dzïmbɯ̈ndadzï,kore̝,kono,sore̝,sono,are̝,ano,,,ne,,,,,,,,onaŋo,odoɡo,fɯ̥̈to,saɡana,torï,e̝nɯ̈ / e̝nɯ̈ko,sïramï,,tane̝maɡi,,,kawa,handa,nïɡɯ̈,tsï,hone̝,ambɯ̈ra,tamaŋo,,sïpa,haŋe̝,kamï / dʒambo,adama,mïmï,manaɡɯ̈,hana,kɯ̈dzï,fa,sï̥ta,tsïme̝,asï,sïndʒakambɯ̈ / sindza,te̝,hara,kɯ̈mpï̥ta / kɯ̈mbï,tsï / oppae̝ / tsï̥tsï,,,nomɯ̈,kɯ̈ / tambe̝rɯ̈,,mïrɯ̈,ksïɡɯ̈,,ne̝rɯ̈,sïnɯ̈,korosï / sïme̝rɯ̈ / ne̝ndzïrɯ̈,ojoŋɯ̈,tombɯ̈,asaɡɯ̈,kɯ̈rɯ̈,ne̝rɯ̈,ne̝marɯ̈,tatsï,jarɯ̈,ke̝rɯ̈,jɯ̈rɯ̈ / ɕe̝rɯ̈,ɕï / oɕï̥sama,tsï̥ksï / otsï̥ksïsama,hosï,mïndzï,ame̝,e̝sï / e̝sïkoro,sïna,tsïdzï,kɯ̈mo,ke̝mɯ̈ / ke̝mbɯ̈,ɕï,hae̝,,,jama,aɡa,aɡe,ao,aoe̝,,,,,kɯ̈ro,,,nɯ̈ɡɯ̈e̝ / atsï,sambï / sïmbare̝rɯ̈,,,e̝,,kawaɡɯ̈ / ɕïrɯ̈ / kaɡɯ̈,nameko
Hirosaki,ora,anda,orando,kore̝,kono,sore̝,sono,are̝,ano,,,nɛ,mïnna / dze̝mb̻ɯ̈,e̝ppɛˑ / joɡe̝,ɕï̥tottsï,fɯ̥̈tattsï,okksï,naŋɛ,tsï̥ssɛ,onaŋo,odoɡo,fɯ̥̈to,saɡana,torï,e̝nɯ̈ / e̝ŋko,sïramï,ksï,tane̝,happa,ne̝ / ne̝kko,kawa,handa,nïɡɯ̈,tsï,hone̝,ambɯ̈ra,tamaŋo,,oppa / sïppo,hane̝,kamï,adama,mïmï,manaɡɯ̈,hanna,kɯ̈dzï,ha,sï̥ta / be̝ro,tsïme̝,asï,ɕindʒakabɯ̈,te̝,hara,kɯ̈mpï̥ta,tsï̥ko / tsïkko,koɡoro,,nomɯ̈,kɯ̈,kamɯ̈ / kandzïrɯ̈,mïrɯ̈,ksïɡɯ̈,ombɛrɯ̈ / sïrɯ̈ / waɡarɯ̈,ne̝mɯ̈rɯ̈ / nerɯ̈,me̝odosï / sïnɯ̈,korosï,ojoŋɯ̈,tombɯ̈,arɯ̈ɡɯ̈,,ne̝rɯ̈ / naŋamarɯ̈,ne̝marɯ̈,tadzï,ke̝rɯ̈,,ʃambe̝rɯ̈,oɕï̥sama / ɕï,tsïɡzï / otsï̥ksï̥sama,hosï,mïndzï,ame̝,e̝sï,sïna,tsïdzï,kɯ̈mo,ke̝mɯ̈rï,ɕï,aɡɯ̈ / aɡɯ̈do,,mïdzï,jama,aɡa,aɡɛ,ao,aoe̝,ksïˑro,ksïroe̝,sïro,sïre̝,kɯ̈ro,kɯ̈re̝,baŋŋe̝ / joma,attsï,samɯ̈e̝ / sïmbare̝rɯ̈,e̝ppɛ,adarasï,e̝,marɯ̈koe̝,kawaɡɯ̈,namɛ
Hachinohe,wa / wadasɯ̈,omɛ / anda / sonada / sonda,wando / wadasɯ̈ra,koe̝,kono,soe̝,sono,ae̝,ano,,,nɛ,mïnna,e̝ppɛ / dzɯ̈pparï,sɯ̈tottsɯ̈,fɯ̥̈tattsɯ̈,okksï / de̝kkɛ,naŋɛ,tsɯ̥̈ttʃɛ / tʃakkoe̝,onaŋo,odoɡo,sɯ̥̈to,saɡana,torï,e̝nɯ̈ / e̝nɯ̈kko,sɯ̈ramï,ksï,tane̝ / sane̝,ha,ne̝ / ne̝kko,kawa,handa,nïɡɯ̈,tsɯ̈,hone̝,ambɯ̈ra,tamaŋo,,oppa,ke̝ / hane̝,kamï / dʒambo,adama,mïmï,manaɡɯ̈,hana,kɯ̈dzɯ̈,ha,sɯ̥̈ta,tsɯ̈me̝,asɯ̈,sɯ̈ndzakambɯ̈,te̝,hara,kɯ̈mpï̥ta,tsɯ̈tsɯ̈ / oppae̝,kokoro,,nomɯ̈,kɯ̈,,mïrɯ̈,ksïɡɯ̈,sɯ̈rɯ̈ / ombe̝rɯ̈,ne̝rɯ̈,sɯ̈nɯ̈,korosɯ̈ / sɯ̈ne̝rɯ̈,ojoŋɯ̈,tombɯ̈,arïɡɯ̈,kɯ̈rɯ̈,ne̝rɯ̈,ne̝marɯ̈ / sɯ̈warɯ̈,tadzɯ̈,jarɯ̈ / ke̝rɯ̈,ke̝rɯ̈,he̝rɯ̈,sɯ̈,tsɯ̥̈ksï,hosɯ̈,mïndzɯ̈,ame̝,e̝sɯ̈ / e̝sɯ̥̈koro,sɯ̈na,tsɯ̈dzɯ̈,kɯ̈mo,ke̝mɯ̈,sɯ̈,aɡɯ̈,,mïdzɯ̈,jama,aɡa,aɡɛ,ao,aoe̝,ksïˑro,ksïroe̝,sɯ̈ro,sɯ̈re̝,kɯ̈ro,kɯ̈re̝,baŋŋe̝,nɯ̈ɡɯ̈e̝,samɯ̈e̝ / sïmbare̝rɯ̈,e̝ppɛ / dzɯ̈pparï,adarasɯ̈,e̝,marɯ̈e̝ / marɯ̈koe̝,kawaɡɯ̈,namɛˑ
Iwate,ore̝ / ora,omɛ / omɛsaɴ,ore̝dadzɯ̈ / orandadzɯ̈,kore̝ / ke̝dzɯ̈,kono,sore̝,sono,are̝,ano,,,nɛ,mïnna,oˑe̝ / joɡeˑ,çïtottsɯ̈,fɯ̈tattsɯ̈,okkï,naŋɛ,tsɯ̥̈ttʃɛ / tʃakke̝ / pɛkko,onaŋo,odoɡo,çï̥to,saɡana,torï,e̝nɯ̈ / e̝nɯ̈kko,sɯ̈ramï,kï,tane̝,happa / hakko,ne̝kko,kawa,handa,nïɡɯ̈,tsɯ̈,hone̝,ambɯ̈ra,tamaŋo,,oppa,hane̝,kamï,adama,mïmï,manaɡɯ̈,hana,kɯ̈dzɯ̈,ha,sɯ̈da,tsɯ̈me̝,asɯ̈ / sɯ̈ne̝,çïndza / çïndʒakambɯ̈,te̝,hara,kɯ̈bï,tsɯ̈dzɯ̈,koɡoro,,nomɯ̈,kɯ̈,kamɯ̈,mïrɯ̈,kïɡɯ̈,ombe̝rɯ̈ / sɯ̈rɯ̈,ne̝rɯ̈,sɯ̈nɯ̈,korosɯ̈,ojoŋɯ̈,tombɯ̈,arɯ̈ɡɯ̈,kɯ̈rɯ̈,ne̝rɯ̈,sɯ̈warɯ̈ / ne̝marɯ̈,tadzɯ̈,jarɯ̈,ke̝rɯ̈,jɯˑ,oçï̥sama / çï,tsɯ̈ɡï,ohosɯ̈sama,mïndzɯ̈,ame̝,e̝sɯ̥̈kkoro / e̝sɯ̈,sɯ̈na,tsɯ̈dzɯ̈,kɯ̈mo,ke̝mɯ̈rï,çï,hae̝ / aɡɯ̈,,mïdzɯ̈,jama,aɡa,aɡɛ,ao,ae̝,kïˑro,kïˑroe̝,sɯ̈ro,sɯ̈re,kɯ̈ro,kɯ̈re̝,baŋŋe̝ / joma / jonaɡa,adzɯ̈ / nɯ̈ɡɯ̈,samɯ̈ / sɯ̈mbare̝rɯ̈,e̝ppɛˑ,adarasɯ̈,e,marɯ̈ / marɯ̈kke̝,kawaɡɯ̈ / hoʃe̝rɯ̈,namɛ
Akita,ore̝ / wadasï / bokɯ̈,mmɛ / omɛsaɴ / anda / ksï̥saɴ / sodzïra,ore̝dadzï / wadasï̥tadzï / bokɯ̈dadzï,kore̝,kono,sore̝,sono,are̝,ano,,,nɛ,mïnna,e̝ppɛ / joɡe̝,ɕï̥tottsï,fɯ̥̈tattsï,okksï,naŋɛ,tsï̥ttʃɛ,onaŋo,odoɡo,fɯ̥̈to,saɡana / ɯ̈wo,torï,e̝nɯ̈ / e̝nɯ̈kko / e̝ŋko,sïramï,ksï,tane̝,fa,ne̝,kawa,handa,nïɡɯ̈ / mï,tsï,hone̝,ambɯ̈ra,tamaŋo,,sïppo,ke̝ / hane̝,kamï / kamïkko,adama,mïmï,manaɡɯ̈,hana,kɯ̈dzï,ha / hakko,sï̥ta / be̝ro,tsïme̝,asï,ɕïndzakambɯ̈ / fïndʒakambɯ̈ / ɕïndza,te̝,hara / harakko / onaɡa,kɯ̈mbï,tsïdzï / oppae̝ / dzïdzï,koɡoro,,nomɯ̈,kɯ̈ / tambe̝rɯ̈,,mïrɯ̈,ksïɡɯ̈,ombe̝rɯ̈ / sïrɯ̈,ne̝rɯ̈ / ne̝mbɯ̈rɯ̈,sïnɯ̈,korosï / sïme̝rɯ̈,ojoŋɯ̈,tombɯ̈,arïɡɯ̈,kɯ̈rɯ̈,ne̝rɯ̈,ne̝marɯ̈ / sïwarɯ̈,tadzï,jarɯ̈,ke̝rɯ̈,jɯ̈,ɕï / oɕïsaɴ,tsï̥kï / odzïɡïsaɴ,hosï,mïndzï,ame̝,e̝sï / e̝sïkko,sïna,tsïdzï,kɯ̈mo,ke̝mɯ̈rï,ɕɯ̈,aɡɯ̈,,mïdzï,jama,aɡa,aɡɛ,ao,aoe̝,ksïˑro,ksïˑronda,sïro,sïre̝,kɯ̈ro,kɯ̈re̝,joma,nɯ̈ɡɯ̈ / attsï,samɯ̈e̝ / ɕïe̝rɯ̈,e̝ppɛ,adarasï,e̝,marɯ̈e̝ / marɯ̈kke̝,hoɕe̝rɯ̈ / kawaɡɯ̈,namae̝
Miyagi,wadasɯ̈,,wadasɯ̈datsɯ̈,koe̝dzɯ̈,kono,soe̝dzɯ̈,sono,ae̝dzɯ̈,ano,,,nɛ,mïnna,e̝ppɛ,çï̥totsɯ̈,fɯ̥̈tatsɯ̈,okkïː,naŋɛː,tʃakkoe̝,onaŋo,odoko,çï̥to,saɡana,torï,e̝nɯ̈ / e̝nɯ̈ko,sɯ̈ramï,kɕï,tane̝,happa,ne̝kko,kawa,handa,nïkɯ̈,tsɯ̈ˑ,hone̝,ambɯ̈ra,tamaŋo,,sɯ̥̈ppo,hane̝,kamïnoɡe̝ / adamanoɡe̝,adama,mïmï,manaɡɯ̈,hana,kɯ̈tsɯ̈,ha,be̝ro,tsɯ̈me̝,asɯ̈,çïndza / çïndzakambɯ̈,te̝,hara,kɯ̈mpï̥ta,tsɯ̈tsɯ̈ / tsɯ̈kko / oppae̝,,,nomɯ̈,kɯ̈ː,kamɯ̈,mïrɯ̈,kïɡɯ̈,sɯ̈rɯ̈,ne̝mɯ̈rɯ̈ / ne̝rɯ̈,,korosɯ̈,ojoŋɯ̈,tombɯ̈,arɯ̈ɡɯ̈ / ae̝bɯ̈ / ɛbɯ̈,,ne̝rɯ̈ / ne̝mɯ̈rɯ̈,sɯ̈warɯ̈ / ne̝marɯ̈,tadzɯ̈,kɯ̈re̝rɯ̈ / ke̝rɯ̈,,jɯ̈ː / ɕambe̝rɯ̈,ode̝ndosama,tsɯ̈ɡï / otsɯ̥kçïsama,ohosɯ̈sama,mïndzɯ̈,ame̝,e̝sɯ̈ / e̝sɯ̥̈ko,sɯ̈na,tsɯ̈dzɯ̈,kɯ̈mo,ke̝mɯ̈rï,çï,aɡɯ̈,,,jama,aɡa,aɡɛː,ao,aoe̝,kɕïːro,kïːro,sɯ̈ro,ɕɕoe̝,kɯ̈ro,kɯ̈roe̝,jorɯ̈,adzɯ̈e̝,samɯ̈e̝ / sɯ̈mbare̝rɯ̈,e̝ppɛ,atarasɯ̈ː,e̝ː,marɯ̈e̝,kawaɡɯ̈,namɛˑ
Yamagata,wadasï / ore̝,anada,wadasïda / watasïtadzï,kore̝,kono,sore̝,sono,are̝,ano,,,nɛˑ,mïnna,e̝ppɛ / oˑe̝,çï̥totsï,fɯ̥̈tatsï,okkï,naŋŋɛ,tsï̥ttʃa,onaŋo,odoɡo,ɕï̥to,saɡana,torï,e̝nɯ̈,sïramï,kï,tane̝,fa / happa,ne̝kko,kawa,handa / kawa,nïɡɯ̈,tsïˑ,hone̝,ambɯ̈ra,tamaŋo,,oppa,hane̝,kamï / kamïnoɡe̝,adama,mïmï,manaɡɯ̈,hana,kɯ̈tsï,ha,sï̥ta,tsïme̝,asï,çïndza / çïndzakambɯ̈,te̝,hara,kɯ̈mbï,tsïdzï / oppae̝,,,nomɯ̈,kɯ̈ˑ,kamɯ̈,mïrɯ̈,kïkɯ̈,obe̝rɯ̈ / sïrɯ̈,nebɯ̈rɯ̈,sïnɯ̈,korosï,ojoŋɯ̈,tombɯ̈,arïɡɯ̈,kɯ̈rɯ̈,ne̝rɯ̈,sïwarɯ̈ / ne̝marɯ̈,tatsï,kɯ̈re̝rɯ̈,kɯ̈re̝rɯ̈ / jarɯ̈,ɕaberɯ̈ / jɯ̈ˑ,te̝ntosama,tsïɡï / otsï̥kïsama,hosï,mïndzï,ame̝,e̝sï,sïna,tsïdzï,kɯ̈mo,ke̝mɯ̈rï,fï,aɡɯ̈,,mïdzï,jama,aɡa,aɡɛ,ao,aoe̝,oɡoɴ / ksïˑro,kïˑronda,sïre̝,ʃïroe̝,kɯ̈ˑre̝ˑ,kɯ̈roe̝,jomma,attʃɛ,sambɯ̈,e̝ppɛ,addarasïe̝,eˑ,marɯ̈e̝,fïrɯ̈ / kawaɡɯ̈,namɛ
Fukushima,ore̝,ome̝saɴ,ore̝datʃï,kore̝,kono,sore̝,sono,are̝,ano,,,nɛ,mïnna / dze̝mbɯ̈,ïppɛ,çïtotsɯ̈,fɯ̈tatsɯ̈,dzɯ̈nnɛ / de̝kkɛ / okkïː,naŋɛ,tʃï̥ttʃɛ / tʃïntʃɛ / tʃïŋkoï,onna,odoɡo,ʃïto,saɡana,torï,ïnɯ̈ / ïŋko,ʃïramï,kï,tane̝,happa,ne̝kko / ne̝,kawa,hada,nïɡɯ̈,tsï,hone̝,abɯ̈ra,tamaŋo,,ʃïppo / oppa / o,hane̝ / ke̝ː,kamïnoke̝,adama,mïmï,me̝,hana,kɯ̈dʒï,ha,be̝ro,tsɯ̈me̝,aʃï,çïdzakabɯ̈,te̝,hara,kɯ̈bï,tʃïdʒï / tʃï̥tʃï,koɡoro,,nomɯ̈,kɯ̈ː,kamɯ̈ / kadʒïrɯ̈,mïrɯ̈,kïɡɯ̈,ʃïrɯ̈ / waɡarɯ̈,ne̝mɯ̈rɯ̈,ʃïnɯ̈,korosɯ̈,ojoŋɯ̈,tobɯ̈,arɯ̈kɯ̈,kɯ̈rɯ̈,ne̝rɯ̈,sɯ̈warɯ̈,tadzɯ̈,jarɯ̈,kɯ̈re̝rɯ̈,jɯ̈ɯ̈ / zjɯ̈ː,ode̝ntosama,tsɯ̈kï / tsɯ̈ɡï,hoʃï,mïdzɯ̈,ame̝,ïʃï,sɯ̈na,tsɯ̥̈tʃï,kɯ̈mo,ke̝mɯ̈rï,çï,hae̝ / aɡɯ̈,,mïtʃï,jama,aɡa,aɡɛ,ao,aoï,kjɯ̈ːro,kjɯ̈ːroï,ʃïro,ʃïroï,,kɯ̈re̝ː,jorɯ̈,attʃï,same̝ː / çïe̝rɯ̈,ïppɛ / tanto / ɯ̈nto,adaraʃïː,ïː,marɯ̈rï,kawaɡɯ̈,namae̝
Aizutakada,ore / wadasɯ̈,nɯ̈sɯ̈ / anada / omɛː,oredadzɯ̈ / wadasɯ̥̈tadzɯ̈,kore̝,kono,sore̝,sono,are̝,ano,,,nɛː,mïnna,oːï,çï̥todzɯ̈,fɯ̥̈tadzɯ̈,dzɯ̈nɛː / de̝kkɛː,naŋɛː,tsɯ̥̈ttʃɛ,onna,odoko,çï̥to,saɡana / ɯ̈o,torï,ïnɯ̈,sɯ̈ramï,kï,tane̝,happa / ha,ne̝kko,kawa,hada,nïɡɯ̈,tsɯ̈,hone̝,abɯ̈ra,tamaŋo,,sɯ̥̈ppo,hane̝,kami,adama,mïmï,manaɡɯ̈,hana,kɯ̥̈tsɯ̈,ha,be̝ro,tsɯ̈me̝,asɯ̈,çïdzakkabɯ̈ / çïdza,te̝,hara,kɯ̈bï,tsɯ̈dzɯ̈,koɡoro,,nomɯ̈,kɯ̈ː,kamɯ̈ / kadzɯ̈rɯ̈,mïrɯ̈,kïɡɯ̈,sɯ̈rɯ̈,ne̝rɯ̈,sɯ̈nɯ̈ / naɡɯ̈narɯ̈,korosɯ̈,ojoŋɯ̈,tobɯ̈,ɛːbɯ̈ / arɯ̈ɡɯ̈,kɯ̈rɯ̈,ne̝rɯ̈ / joɡonïnarɯ̈,sɯ̈warɯ̈,,jarɯ̈,kɯ̈re̝rɯ̈,jɯ̈ː,ote̝ntosama / oçï̥sama,tsɯ̥̈kï / dzɯ̈ɡï / odzɯ̈ɡïsama,ohosɯ̥̈sama,mïdzɯ̈,ame̝,ïsɯ̈,sɯ̈na,tsɯ̈dzɯ̈,kɯ̈mo,ke̝mɯ̈ / ke̝mɯ̈rï,çï,aɡɯ̈,,mïtsɯ̈ / mïdzɯ̈,jama,aɡa,aɡɛː,ao,awe̝ˑ,kïːro / kïre̝ro,kïːroï,sɯ̈ro,sɯ̈re̝ˑ,kɯ̈ro,kɯ̈re̝ˑ,jorɯ̈,adzɯ̈ï,samɯ̈ï / sɯ̈bare̝rɯ̈,ïppɛː,adarasɯ̈ˑ,zïː,marɯ̈rï,çïrɯ̈ / kawaɡɯ̈,namɛː / nammɛː
Niigata,dʒibɯɴ,anta / omaesoɴ,dʒibɯntatʃi,kore,kono,sore,sono,are,ano,,,nɛ,nna,e̝ppɛ / tammari / ɡjoːsaɴ,çi̥totsɯ,fɯ̥tattsɯ,dekkae̝ / oːkie̝,naːɡɛː,tʃi̥ttʃe / tʃiŋkoe̝,onaɡo,otoko,ʃi̥to / fɯ̥to,sakana,tori,e̝ŋɡa,ʃirami,ki,tane,happa,ne,kawa,hada,nikɯ / ʃiʃi,tʃi,hone,abɯra,tamaɡo,,ʃi̥ppo,hane,kaminoke / atamanoke,atama,mimi,me,hana,kɯ̥tʃi,ha,ʃi̥tta,tsɯme,aʃi,çidza / çidzakabɯ,te,hara,kɯbi,tʃitʃi,kokoro,,nomɯ,kɯː,kamɯ,mirɯ,ki̥kɯ,ʃirɯ,nemɯrɯ / nerɯ,ʃiɡɯ,korosɯ,ojoɡɯ / abirɯ,tobɯ,aebɯ / eːbɯ / ebɯ / ajobɯ,kɯrɯ,nerɯ / jasɯmɯ,sɯwarɯ / nemarɯ,tatsɯ,kɯrerɯ / aɡerɯ,kɯrerɯ,jɯː / saberɯ / seɯ,otentoːsama,tsɯ̥ki / tsɯ̥kisama,hoʃi,midzɯ,ame̝,e̝ʃi / e̝ʃi̥koro,sɯna,beto,kɯmo,kemɯ / kebɯ,çi,akɯ / hai,,mitʃi,jama,aka,akɛː,ao,aːwe,kie̝ro,kiːro,ʃiro,ʃireː,kɯro,kɯːre,baŋɡe / joːsare,attʃɛ,saːme,e̝ppɛː,ataraʃi,e̝ː,marɯe̝,kawakɯ,namae
Sado,wataʃi,anata,wataʃitatʃi,kore,kono,sore,sono,are,ano,,,ɴ,dzembɯ,ippeː,çitotsɯ,fɯtattsɯ,fɯteː,naɡeː,tʃiːtʃeː,onna,otoko,ʃito,sakana,tori,iɴ,ʃirame,kiː,tane,haː,neː,kawa,hada,nikɯ,tʃiː,hone,abɯra,tamaɡo,,oː,hane,kami,atama,mimi,meː,hana,kɯ̥tʃi,haː,ʃi̥ta,tsɯme,aʃi,çidzakkoːbe,teː,hara,kɯbi,tʃitʃi,kokoro,,nomɯ,kɯː,kamɯ,mirɯ,ki̥kɯ,ʃirɯ,nemɯrɯ,ʃinɯ,korosɯ,ojoɡɯ,tobɯ,eːbɯ / ajobɯ,kɯrɯ,nerɯ,sɯwarɯ / nemarɯ,tatsɯ,kɯrerɯ / jarɯ,kɯrerɯ,jɯː,tentosaɴ,tsɯki,hoʃi,midzɯ,ame,iʃi,sɯna,tsɯtʃi,kɯmo,kebɯ / kemɯri,çiː,,,mitʃi,jama,aka,akeː,ao,aːoi,kiːro,kiroi,ʃiro,ʃireː,kɯro,kɯreː,baŋɡeː,attsɯi,saːmiː,ippeː,ataraʃiː,iː,maːriː,kawakɯ / haʃaɡɯ,nameː
Ibaraki,ore̝,anata,ore̝tatʃï,kore̝ / koe̝tsɯ̈,kono,sore̝ / soe̝tsɯ̈,sono,are̝ / ae̝tsɯ̈,ano,,,nɛː,mïnna,oːe̝,çï̥totsɯ̈,fɯ̥tatsɯ̈,e̝kae̝ / de̝kkae̝,naŋae̝,tsï̥kkoe̝ / tsï̥ttʃae̝ / tsïnkoe̝,onna,otoko,çï̥to,sakana,torï,e̝nɯ,sïramï,kçï,tane̝,happa,ne̝kko,kawa,hada,nïkɯ̈,tʃï,hone̝,abɯra,tamaŋo,,sïrïppo,hane̝,atamanoke̝,atama,mïmï,me̝,hana,kɯ̈tʃï,ha,ʃï̥ta / be̝ro,tsɯ̈me̝,asï,çïdza / çïdzakabɯ̈,te̝,hara,kɯ̈bï,tʃïdzï,kokoro,,nomɯ̈,kɯ̈ː / tabe̝rɯ,kamɯ̈,mïrɯ,kçï̥kɯ̈,sïrɯ̈,ne̝rɯ̈ / ne̝mɯrɯ,sïnɯ,korosɯ̈,,tobɯ,arɯkɯ,kɯrɯ,ne̝mɯrɯ / fɯ̥sarɯ,sɯ̈warɯ̈,tatsɯ̈,jarɯ,kɯre̝rɯ,jɯ̈ː,ote̝ntoːsama,tsɯ̈ɡï / otsɯ̥kçï̥sama,ohossama,mïdzɯ̈,ame̝,e̝sï,sɯ̈na,tsɯ̥̈tsï,kɯmo,ke̝mɯrï / ke̝mɯ,çï,hae̝,,mïtʃï,jama,aka,akae̝,ao,aoe̝,kçïːro,kçïe̝roe̝,sïro,sïroe̝,kɯro,kɯroe̝,jorɯ,atsɯ̈e̝,samɯe̝,e̝ppae̝ / jamakake̝,atarasïe̝,e̝ː,marɯe̝,kawakɯ̈ / çïrɯ,namae̝
Tochigi,watasï / watakɯ̥̈sï,anta,watasïra,kore̝,kono,sore̝,sono,are̝,ano,dare̝,,neː,mïna,oːï / ïppaï,çï̥totsɯ̈ / çïtottsɯ̈,fɯ̥̈tattsɯ̈,oːkïː / de̝kkaï,naŋaï,tsïːsaï / tsïkkoï,onna,otoko,çï̥to,saɡana,torï,ïnɯ̈,sïramï,kï,tane̝,ha / happa,ne̝ / ne̝kko,kawa,hada,nïɡɯ̈,tsïː,,abɯ̈ra,tamaŋo,,o / sïrïo,hane̝,kamïnoɡe,atama,mïmï,me,hana,kɯ̥̈tʃi,ha,ʃï̥ta / bero,tsɯ̈me̝,aʃï,çïdza,te,hara / onaka,kɯbï,tʃï̥tʃï / oppaï / otʃï̥tʃï / otsï,kokoro,,nomɯ̈,tabe̝rɯ̈ / kɯ̈ː,kamɯ̈ / kadʒïrɯ̈,mïrɯ̈,ki̥kɯ,sïrɯ̈,ne̝mɯ̈rɯ̈,sïnɯ̈ / naɡɯ̈narɯ̈,korosɯ̈,ojoŋɯ̈,tobɯ̈,arɯɡɯ,kɯ̈rɯ̈,ne̝rɯ̈,sɯ̈warɯ̈,tadzɯ̈,aŋe̝rɯ̈ / jarɯ̈ / jɯ̈dzɯ̈rɯ̈,kɯ̈re̝rɯ̈,jɯː,ote̝ntosaɴ,tsɯ̥̈kï / otsɯ̥̈kïsaɴ,hosï / ohosï̥saɴ,mïdzɯ̈,ame̝,ïsï,sɯ̈na,tsɯ̥̈tsï,kɯ̈mo,ke̝mɯ̈rï / ke̝mɯ̈,çïː,haï,,mïdzï,jama,aɡa,aɡaï,ao,aoï,kïːro,kïːroï,sïro,sïroï,kɯ̈ro,kɯ̈roï,jorɯ̈,atsɯ̈ï,samɯ̈ï,ɯ̈nto / ippeː / takɯ̥̈san,atarasïː,ïː,marɯ̈rï,kawaɡɯ̈,namae̝
