,1.SG,2.SG,1.PL,this1,this2,that1,that2,that3,that4,who?,what?,not,all,many,one,two,big,long,small,woman,man,person,fish,bird,dog,louse,tree,seed,leaf,root,bark,skin,flesh,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,knee,hand,belly,neck,breasts,heart,liver,to drink,to eat,to bite,to see,to hear,to know,to sleep,to die,to kill,to swim,to fly,to walk,to come,to lie down,to sit,to stand,to give1,to give2,to say,sun,moon,star,water,rain,stone,sand,soil,cloud,smoke,fire,ash,to burn,path,mountain,red1,red2,blue1,blue2,yellow1,yellow2,white1,white2,black1,black2,night,hot,cold,full,new,good,round,to dry,name
Shiga,wataʃi / utʃi / boku,anata / anta / otaku,wataʃira / utʃira / bokura,kore,kono,sore,sono,are,ano,,,ɴ / heɴ,mina,oːi,çitotsu,futatsu,ikæː,naŋai,tʃissai,onna / onaŋo / onaɡo,otoko,çito,sakana,tori,inu / inume,ʃirame,kiː,tane,haː,neː,kawa,hada,niku / miː,tʃiː,hone,abura,tamaŋo,,oː / ombo,hane / keː,kaminoke / kami,atama,mimi,meː,hana,kutʃi,haː,bero / ʃita,tsume,aʃi,hidza,teː,hara,kubi,tʃitʃi / oppai,kokoro,,nomu,kɯː / taberu,kamu / kadʒiru,miru,kiku,ʃiru,neru,ʃinu,korosu / tsubusu,ojoŋu,tobɯ,aruku,kuru,neru,suwaru,tatsu,jaru / taru,kureru,juː,oçiːsaɴ / çi,otsukisaɴ / tsuki,hossaɴ,midzu,ame,iʃi,suna,tsutʃi / doro,kumo,kemuri,çiː,hae,,mitʃi,jama,aka,akai,ao,aoi,kiːro,kiːroi,ʃiro,ʃirøe,kuro,kurøe,baɴ,atsui,samui / sabui,ippæː,sara,eː,marui,kawaku,namae
Mie,waʃi / wataʃi,antasaɴ / otaku / omahaɴ,wataʃira,kore,kono,sore,sono,are,ano,,,ɴ / heɴ,mina / minna,oːi,hitotsu,hutatsu,okkiː / dekkai,naɡai,tʃissai / tʃittʃai / tʃikkoi,onna,otoko,hito,uo / sakana,tori,inu,ʃirami,kiː,tane,haː / happa,neː,kawa,hada,niku,tʃiː,hone,abura,tamaɡo,,ombo / ʃippo,hane,kami,atama,mimi,meː,hana,kutʃi,haː,ʃita / bero,tsume,aʃi,hiza,teː,hara,kubi,tʃitʃi / oppai,kokoro,,nomu,kuː,kamu,miru,kiku,ʃiru,neru,ʃinu,korosu,ojoɡu,tobu,aruku,kuru,neru / nekorobu,suwaru,tatsu,jaru / kuretaru,kureru,juː,ohiːsaɴ,tsuki / otsukisaɴ,hoʃi / hossaɴ,mizu,ame,iʃi,suna,tsutʃi,kumo,keburi / kemuri,hiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiːro,kiːroi,ʃiro,ʃiroi,kuro,kuroi,joru,atsui,samui / hieru,ippai,ataraʃiː,eː,marui,kawakɯ,naː
Nara,wataʃi / watakuʃi / wate,anta / otaku / antahaɴ,wataʃira / watera,kore,kono,sore,sono,are,ano,dare,,ɴ / hiɴ,minna,joːke / oːi,hitotsu,futatsu,okkiː,naŋai,tʃiŋkoi,onna,otoko,ʃito,sakana,tori,inu / tʃiŋkoro,ʃirame / ʃirami,kiː,tane,haː,neː / nekko,kawa,hada,niku,tʃiː,hone,abura,tamaŋo,,oː,hane,kami,atama,mimi,meː,hana,kutʃi,haː,ʃita / bero,tsume,aʃi,hidza,teː,hara,kubi,tʃitʃi,kokoro,,nomu,kuː,kamu,miru,kiku,ʃiru / wakaru,neru,ʃinu,korosu,ojoŋu,tobu,aruku,kuru,neru / neiru,suwaru,tatsu,jaru,kureharu / kureru,juː,otentosaɴ,otsukisaɴ / tsuki,hossaɴ,midzu,ame,iʃi,suna,tsutʃi,kumo,keburi / kemuri,hiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiːro,kiːroi,ʃiro,ʃiroi,kuro,kuroi,juru / baɴ,atsui,sabui,ɡjoːsaɴ / ippai,ataraʃiː / sara,eː,marui,kawaku,naː
Kyoto,wataʃi,outʃi / otaku,wataʃira / wataʃijara,kore,kono,sore,sono,are,ano,,,heɴ / ɴ,minna,oːi,ʃitotsu,hutatsu,oːkiː,naŋai,tʃittʃai,onna / onaŋo,otoko,ʃito,uo / sakana,tori,inu / inukoro,ʃirame,kiː,tane,haː,neː,kawa,hada,niku,tʃiː,hone,abura,tamaŋo,,oː / oppo / ʃippo,hane / keː,kami / kaminoke,atama / otsumu,mimi,meː,hana,kutʃi,haː,ʃita / bero,tsume,aʃi,hiza,teː,hara / onaka,kubi,tʃitʃi / otʃitʃi,kokoro,,nomu,taberu / kuː,kamu,miru,kiku,ʃiru,neru,ʃinu,korosu / tsubusu,ojoŋu,tobu,aruku,kuru,neru,suwaru,tatsu,jaru / aŋeru,kureru,juː / ʃaberu,ohisaɴ / hiː / taijoː,otsukisaɴ / tsuki,hoʃi / ohossaɴ,mizu,ame,iʃi / iʃikoro,suna,tsutʃi,kumo,kemuri / keburi,hiː,hai,,mitʃi,jama,aka,akai,ao / awo,aoi,kiːro,kiːroi,ʃiro,ʃiroi,kuro,kuroi,baɴ,atsui,sabui / hieru,tanto / ɡjoːsaɴ / ippai,ataraʃiː / sara,eː,marui,kawaku,namae
Osaka,watai / wataʃi,anta / antahaɴ / aɴsaɴ,watera / wataʃira,kore,kono,sore,sono,are,ano,dare,,heɴ / ɴ,mina / minna / zembu,oi,ʃitotsu,hutatsu,oːkiː,naŋai,tʃittʃai / tʃissai,onna / onaŋo,otoko,hito,sakana,tori,inu,ʃirame,kiː,tane,haː,neː,kawa / kaː,hada,miː / niku,tʃiː,hone,abura,tamaɡo,,oː,hane,kami / kaminokeː,atama,mimi,meː,hana,kutʃi,haː,ʃita,tsume,aʃi,hiza,teː,hara / onaka,kubi,otʃitʃi / tʃitʃi,kokoro,,nomu,taberu / kuː,kamu / kaburu,miru,kiku,ʃiru,neru,ʃinu,korosu / ʃimeru,ojoŋu,tobu,aruku,kuru,neru,suwaru,tatsu,jaru,kureru,juː,ohiːsaɴ,ottsukisaɴ / tsuki,hossaɴ,mizu / miru,ame,iʃi / iʃikoro,suna,tsutʃi,kumo,keburi / kemuri,hiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiː,kiːroi,ʃiro,ʃiroi,kuro,kuroi,baɴ,atsui,sabui,ɡjoːsaɴ / ippai,ataraʃi / sara,eː,marui,kawaku / kaːku,namae
Wakayama,wataʃi,anata,wataʃira,kore,kono,sore,sono,are,ano,,,ɴ,minna,oi,hitotsu,futatsu,okiː,naŋɡai,tʃissai / komai,onna / onaŋɡo,otoko,hito,sakana,tori,inu / tʃiŋkoro,ʃirame,kiː,tane,haː,neː,kawa,hada / kawa,niku,tʃiː,hone,abura,tamaŋɡo,,oː,hane,atamanokeː,atama,mimi,meː,hana,kutʃi,haː,hita / bero,tsume,aʃi,hida,teː,hara,kubi,tʃitʃi,,,nomu,kuː,kamu,miru,kiku,ʃiru,neru,ʃinu,korosu,ojoŋɡu,tobu,aruku / ʃaruku,kuru,neru,suwaru,tatsu / tateru,jaru,,juː,ohiːsaɴ / ohiːsama,otsukisaɴ / tsuki,hossaɴ / hoʃi,midzu,ame,iʃi / iʃina,suna,tsutʃi,kumo,keburi,hiː,hai,,mitʃi,jama,aka,akai,ao,aoi,,kiːroi,ʃiro,ʃiroi,kuro,kuroi,baɴ,atsui,sabui,ippai / joːke,ataraʃi,eː,maːrui,kawaku,naː
Hyogo,wataʃi / watai,antahaɴ / omahaɴ,wataʃira / wataira,koe / kore,kono,soe / hore,sono,ae / are,ano,,,ɴ / heɴ,minna / dembu,oːi / ʒoːsaɴ,hitotsu,hutatsu,oːkeː,naŋai,komai,onaŋo,otoko,hito,ʒako,tori,inu,ʃirame,kiː,tane,haː / happa,neː,kawa,hada / hifu / ʒihada / kawa,niku,tʃiː,hone,abura,tamaŋo / tamako,,oː / ʃirippo,hane,kaminokeː,atama,mimi,meː,hana,kutʃi,haː,bero / ʃita,tsume,aʃi,hida,teː,hara / onaka,kubi,tʃitʃi,kokoro,,nomu,kuː / taberu,kamu / kaburu,miru,kiku,ʃiru,neru / neburu,ʃinu,korosu / tsubusu,ojoŋu,tobu,aruku,kuru,neru / jokorobu / korobu,suwaru,tateru / tatsu,jaru / taru,kureru,juː,ohisaɴ / konnittaɴ / otentohaɴ / hiː / oteri,otsukisaɴ / tsuki,hossaɴ,mizu,ame,iʃi,suna,tsutʃi,kumo,keburi / kemuri,hiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiː,kiːroi,ʃiro,ʃiroi,kuro,kuroi,joru / josari / baɴ,atsui / nukui,sabui,ippai / kokkiri / kokkirikoː / katsukatsu / joːke,ataraʃi / sara,eː,marukoi,kawaku / haʃʃaŋu,namae / naː
Okayama,wataʃi,anta,wataʃiraː,keː,keːno,seː,seːno,eː,eːno,,,ɴ,minna / mina,oeː,hitotsu,futatsu,oːkeː,naɡæː,komæː,onaɡo,otoko,hito,sakana,tori,inu,ʃirami,ki,tane,happa,ne,kawa,hada,niku,tʃi,hone,abura,tamaɡo,,ʃippo,hane,kami,atama,mimi,me,hana,kutʃi,ha,bero,tsume,aʃi,hiza,te,hara,kubi,tʃitʃi,kokoro,,nomu,kuː,kamu,miru,kiku,ʃiru,neru,ʃinuru,korosu / ʃinasu,ojoɡu,tobu,aruku,kuru,neru,suwaru,tateru / tatsu,aɡeru,kureru,juː,tæːjoː / tæːjoːsama / ohisama / nittennoːsama,otsukisama / tsuki,hoʃi,mizu,ame,iʃi,suna,tsutʃi,kumo,kemuri,hi,hai,,mitʃi,jama,aka,akæː,ao,aweː,kiːro,kiːna,ʃiro,ʃireː,kuro,kureː,baɴ,atsiː,samiː / sabiː,ippæː / bokkoː / ɡjoːsaɴ,ataraʃiː,eː,mariː,kawaku / hiru,nameː
Hiroshima,waʃi,anta,waʃira,kore,kono,sore,sono,are,ano,,,ɴ,minna,oiː,çitotsu,futatsu,oːkeː / futoi,naɡaː,komaː,onaɡo,otoko,çito,io / sakana,tori,inu / tʃiŋkoro,ʃirame,ki,tane / sane,ha,ne,kawa,hada,niku,tʃi,hone,abura,tamaɡo,,ombatʃi,hane / haneɡe,kamiɡe,atama,mimi,me,hana,kutʃi,ha,bero,tsume,aʃi,çiza,te,hara,kubi,tʃitʃi,kokoro,,nomu,kuː,kamu / kaʒiru,miru,kiku,ʃiru / wakaru,neburu,ʃinuru,konosu,ojoɡu / abiru,tobu,aruku,kuru,neru,suwaru,tatsu,jaru,kureru,juː,oçiːsaɴ,ottsukisaɴ / tsuki,hoʃi,mizu,ame,iʃi / iʃikoro,suna,tsutʃi,kumo,keburi,çi,hai,,mitʃi,jama,aka,akaː,ao,aoi,kiː,kiːna,ʃiro,ʃiroi,kuro,kuroi,joru,atsui,sabui,ippai,niːna,eː,marui,çiru,namae
Yamaguchi,wataʃi / boku,anata,wataʃitatʃi / bokuraː,kore,kono,sore,sono,are,ano,dare,,ɴ,minna,oiː,çitotsu,futaːtsu,oːkina,naɡæː,komæː,onna,otoko,çito,sakana,tori,inu,ʃirami,ki,tane / sane,ha,ne,kawa,hada,niku,tʃi,hone,abura,tamaɡo,,ʃippo / oppo,hane,kami / kamiɡe / kaminoke,atama,mimi,me,hana,kutʃi,ha,ʃita / bero,tsume,asi,çidza,te,onaka,kubi,otʃitʃi,kokoro,,nomu,taberu,kamu,miru,kiku,ʃiru,neru / nemuru,ʃinuru,korosu,ojoɡu,tobu,aruku,,neru,suwaru,tatsu,jaru,,juː,tæːjoː / oçisama,tsuki,hoʃi,midzu,ame,iʃi,suna,doro,kumo,kemuri,çi,hæː,,mitʃi,jama,aka,akæː,ao,aøː,kiː,kiːrøː,ʃiro,ʃirøː,kuro,kurøː,joru / baɴ,atsiː,samiː,ippæː,ataraʃiː,eː,marwiː,kawaku / çiru / iraku,namæː
Tottori,waʃi / wataʃi,omaesaɴ / anta,waʃiraː / wataʃiraː,kore / koitsɯ,kono,sore / soitsɯ,sono,are / aitsɯ,ano,dare,,ɴ / seɴ,minna,oːi,çitotsɯ,fɯtatsɯ,oːkiː,naɡai,komai / tʃiːsai,onaɡo,otoko,çito,sakana,tori,inɯ / inɯkoro,ʃirami,ki,tane,happa / ha,ne,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaɡo,,ʃi̥ppo / ʃirio / o,hane,kami,atama,mimi,me,hana,kɯtʃi,ha,ʃita,tsɯme,aʃi,çiza,te,hara / onaka,kɯbi,tʃitʃi,kokoro,,nomɯ,kɯː / taberɯ,kamɯ,mirɯ,kikɯ,ʃirɯ,nerɯ / nererɯ,ʃinɯrɯ,korosɯ,ojoɡɯ,tobɯ,arɯkɯ,kɯrɯ,nerɯ / naɡabarɯ,sɯwarɯ,tatsɯ,jarɯ / aɡerɯ,ɡosɯ / ɡoserɯ,jɯː,taijoː / otentosaɴ,tsɯki / otsɯkisaɴ,hoʃi,midzɯ,ame,iʃi,sɯna,tsɯtʃi,kɯmo,kemɯri / kebɯri,çi,hai,,mitʃi,jama,aka,akai,ao,aoi,kiːro,kiːna,ʃiro,ʃiroi,kɯro,kɯroi,joːsari,atsɯi,samɯi,ippai,ataraʃiː,eː,marɯi,kawakɯ,namae
Shimane,te̝mae̝ / watasï / watakɯ̥̈sï,omae̝saɴ / anta,te̝mae̝domo / te̝mae̝jatsï / watasï̥domo / watasï̥jatsï / watasï̥ratsï / watasï̥ra,,,,,aː / are̝ / ae̝tsï,ano,,,ɴ / no / he̝ɴ,me̝nna,oːe̝,fɯ̥totsï,fɯ̥̈tatsï,oːksï̥na,naɡae̝,hoʃe̝,onaɡo,otoko,fɯ̥̈to,sakana,toː,e̝no / ïnɯ̈,sï̥ramï / sïrame̝,ksï,tane̝,ha,ne̝,kawa,hada,ne̝kɯ̈,tsï,hone̝,abïra,tamaɡo,,sïːbo,hane̝,kamï / kaŋŋe̝,atama,mïmï,me̝,hana,kɯ̥̈tsï,ha,ʃï̥ta,tsï̥me̝,asï,fɯ̥̈dza,te̝,hara,kɯbï,tsï̥tsï,kokoro,,noɴ,kɯ̈ː,kaɴ,mïː,ksï̥kɯ̈,sïː / wakaː,ne̝ː,sïnoː,korosï,ojoɡɯ̈,tobï,arïkɯ̈,kɯ̈ː,ne̝ː,ne̝maː / sï̥waː,tatsï / tate̝ː,jaː,ɡosï,ïː,ote̝ntosaɴ / konnïttsaɴ,tsï̥ksï,hosï̥,me̝dzï,ame̝,e̝sï,sï̥na,tsï̥tsï,kɯ̥mo,ke̝moː,fɯ̈,hae̝,,me̝tsï,jama,aka,akae̝ / ake,ao,aoe̝ / awe,ksïːro,ksïːroe̝,sï̥ro,sïroe̝,kɯ̈ro,kɯ̈roe̝,joː / baɴ,atsïː / atsï,samïː / samï,e̝ppae̝,atarasï / sarana,e̝,marï,kawakɯ̈ / fïː / fɯ̈ː,namae̝
Tokushima,wataʃi,anata / anta,wataʃira,kore,kono,hore,hono,are,ano,,,ɴ,mina,oːi,hitotsu,futaːtsu,oːkiː,naɡai,komai,onaɡo,otoko,hito,sakana / uo,tori,inu,ʃirame,kiː,tane / sane,haː,neː,kawa,hada,niku,tʃiː,hone,abura,tamaɡo,,oː,hane,kami,atama,mimi,meː,hana,kutʃi,haː,ʃita / beːro,tsume,aʃi,hiza,teː,hara,kubi,tʃitʃi,kokoro,,nomu,kuː / taberu,kamu,miru,kiku,ʃiru,nemɯru / neburu / neru,ʃinu,korosu,ojoɡu,tobu,aruku,kuru,neru,suwaru,tatsu / tateru,jaru / aɡeru,kureru,juː,ohiːsaɴ / otentosaɴ,tsuki,hoʃi,mizu,ame,iʃi,suna,tsutʃi,kumo,kemuri,hiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiːro,kiːroi,ʃiro,ʃiroi,kuro,kuroi,joː / joːsa / baɴ / baŋɡata,atsui,samui,ippai / makemake,ataraʃiː / sara,eː,marui,kawaku,namae
Kagawa,ora / otaʃi,anta,oratatʃi / otaʃira,kore,kono,sore,hono,are,ano,,,,minna,oːi,çitotsu,futatsu,oːkiː,naɡai,kommai,onaɡo,otoko,çito,sakana,tori,inu,ʃirami,kiː,tane,ha,ne,kawa,hada,niku,tʃiː,hone,abura,tamaɡo,,oː,hane,kami,atama,mimi,meː,hana,kutʃi,haː,ʃita / bero,tsume,aʃi,çiza,teː,hara / onaka,kubi,tʃitʃi / otʃitʃi / oppai,kokoro,,nomu,taberu,kamu,miru,kiku,ʃiru,neru,ʃinu,korosu,ojoɡu,tobu,aruku,kuru,neru,suwaru,tateru,aɡeru / jaru,,juː,oçiːsaɴ,otsukisaɴ / tsuki,ohossaɴ,mizu,ame,iʃi / iʃikoro,suna,tsutʃi,kumo,kemuri / keburi,çiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiː,kiːroi,ʃiro,ʃiroi,kuro,kuroi,joru,atsui,sabui,joːke / ippai,ataraʃiː,eː,marui,kawaku,namae
Kochi,wataʃi,omasaɴ / anata,wataʃiraː,kore,kono,sore,hono,are,ano,,,ɴ,minnaː,joke,hitotsu / hittotsu,futaːtsu,futoi,naŋɡai,kommai / hosoi,onna / onaŋɡo,otoko,hito,sakana,tori,inu,ʃirami,kiː,tane,ha,neː,kaː,handa,niku,tʃi,hone,abura,tamaŋɡo,,obatta / obatʃi,hane,kami,atama,mimi,meː,hana,kutʃi,ha,ʃita / bera,tsume,aʃi,hiza,teː,hara,kubi,tʃitʃi / otʃitʃi,kokoro,,nomu,kuː / taberu,kamu,miru,kiku,ʃiru,nemuru / neburu,ʃinuru,korosu,ojoŋɡu,tobu,aruku,kuru,neru,izaru,tateru,jaru,,juː,ohiːsaɴ / otentosaɴ,tsuki / otsukisama,hoʃi,mindzu,ame,iʃi,suna,tsutʃi,kumo,kemuri / keburi,hiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiː,kiːroi / kiːna,ʃiro,ʃiroi,kuro,kuroi,joru / baɴ,atsui,hijai,ippai,ataraʃiː / sara,ei,marui / maːrui,kaːku,namae
Ehime,wataʃi / watakuʃi,anata,wataʃira,kore,kono,sore,hono,are,ano,,,ɴ,minna,oːi,çitoːtsu,futaːtsu,oːkei,naɡai,kommai,onna,otoko,ʃito,sakana,tori,inu,ʃirami,kiː,tane / sane,haː / happa,neː,kawa,hada,niku,tʃiː,hone,abura,tamaɡo,,oppo,hane,kami,atama,mimi,meː,hana,kutʃi,haː,ʃita / bero,tsume,aʃi,çiza,teː,hara,kubi,tʃitʃi / oppai,kokoro,,nomu,taberu / kuː,kamu,miru,kiku,ʃiru,nemuru / neburu,ʃinuru,korosu,ojoɡu,tobu,aruku,kuru,neru / nemuru,suwaru,tatsu,aɡeru,,juː,çiː,tsuki,hoʃi,mizu,ame,iʃi,suna,tsutʃi,kumo,keburi / kemuri,çiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiː,kinai,ʃiro,ʃiroi,kuro,kuroi,joru,atsui,sabui,ippai,ataraʃiː / sara,eː,marui,kawaku,namae
Oita,waʃi,anta,waʃidoː / wassoː,koitu / kore,koɴ,soitu / sore,soɴ,aitu / are,aɴ,dari / dare,,ɴ,minna / mina,owiː / oiː,çi̥totu̥,fu̥tatu,fu̥tiː / okkiː / oːkena / uːkeɴ,naɡeː,kommeː,onaɡo,otoko,çi̥to,sakana / ijo,tori,iɴ / inu,ʃirame,ki,tane,ha,ne,kawa,hada,niku / mi,tʃi,hone,abura,tamaɡo,,o / ʃirijo,hane,kami / kaminoke / atamaŋke,atama,mimi,me,hana,ku̥tʃi,ha,ʃi̥ta / bero,tsume,aʃi,çida / tsubuʃi,tʃe,hara,kubi,tʃitʃi,kokoro,,nomu,kuː,kamu,miru,ki̥ku,ʃiru,neru / nemuru,ʃinuru,korosu / ʃimuru,ojoɡu,tobu,ajumu / aruku,kuru,neru / ku̥tawaku,suwaru,tatsu,jaru,kururu / jaru,juː,oçisaɴ,otsuki̥saɴ / tsu̥ki,hoʃi / hossama,mizu,ame,iʃi,suna,tsutʃi,kumo,kemuri,çi,heː / feː,,mitʃi,jama,aka,akeː,ao,awiː / aiː,kina,kineː,ʃiro,ʃiriː,kuro,kuriː,joru / baɴ,atʃiː / atiː,samiː,ippeː,ataraʃiː,iː,mariː,kawaku / iroku / çiru,na
